iter	Passed	Remaining
0	12	38713
1	26	39575
2	39	39628
3	53	39736
4	65	39297
5	78	39123
6	90	38888
7	103	38760
8	115	38392
9	128	38461
10	134	36538
11	146	36430
12	158	36497
13	171	36472
14	184	36703
15	196	36717
16	210	36861
17	222	36796
18	236	37092
19	250	37265
20	264	37461
21	274	37177
22	286	37134
23	300	37245
24	312	37149
25	325	37183
26	336	37076
27	350	37177
28	362	37123
29	375	37161
30	387	37126
31	400	37145
32	413	37148
33	421	36766
34	433	36739
35	444	36577
36	456	36570
37	467	36474
38	478	36353
39	490	36282
40	500	36140
41	510	35975
42	522	35939
43	535	36006
44	546	35910
45	559	35926
46	572	35962
47	584	35925
48	596	35895
49	609	35988
50	622	35982
51	633	35902
52	646	35943
53	659	35979
54	671	35947
55	684	35963
56	695	35909
57	708	35934
58	719	35877
59	731	35857
60	743	35825
61	755	35801
62	769	35855
63	780	35810
64	793	35852
65	805	35813
66	817	35784
67	831	35836
68	843	35840
69	854	35784
70	865	35694
71	878	35724
72	890	35687
73	903	35710
74	913	35641
75	926	35648
76	940	35690
77	951	35638
78	964	35664
79	978	35698
80	989	35676
81	1002	35688
82	1014	35657
83	1027	35676
84	1040	35679
85	1051	35629
86	1066	35698
87	1076	35619
88	1090	35661
89	1102	35655
90	1115	35661
91	1128	35674
92	1140	35654
93	1152	35625
94	1165	35641
95	1176	35586
96	1189	35597
97	1202	35600
98	1215	35603
99	1228	35623
100	1242	35662
101	1253	35615
102	1266	35630
103	1279	35641
104	1291	35613
105	1304	35621
106	1318	35636
107	1331	35660
108	1344	35655
109	1356	35640
110	1370	35676
111	1383	35667
112	1396	35689
113	1411	35730
114	1423	35706
115	1433	35632
116	1445	35607
117	1456	35581
118	1468	35544
119	1479	35514
120	1491	35483
121	1504	35490
122	1514	35432
123	1524	35349
124	1536	35342
125	1548	35330
126	1560	35290
127	1571	35263
128	1582	35222
129	1594	35194
130	1606	35179
131	1619	35182
132	1630	35154
133	1643	35145
134	1654	35114
135	1666	35091
136	1679	35106
137	1690	35069
138	1699	34970
139	1709	34925
140	1721	34898
141	1733	34881
142	1744	34858
143	1756	34845
144	1767	34798
145	1777	34738
146	1788	34702
147	1798	34666
148	1809	34630
149	1823	34644
150	1835	34622
151	1845	34581
152	1855	34530
153	1865	34483
154	1874	34410
155	1884	34358
156	1894	34299
157	1905	34274
158	1917	34260
159	1927	34217
160	1940	34215
161	1953	34219
162	1962	34161
163	1973	34125
164	1984	34102
165	1997	34103
166	2009	34096
167	2020	34062
168	2031	34025
169	2042	33996
170	2053	33965
171	2065	33964
172	2076	33932
173	2088	33923
174	2100	33911
175	2113	33909
176	2125	33899
177	2139	33917
178	2150	33883
179	2161	33870
180	2174	33866
181	2185	33841
182	2199	33852
183	2212	33854
184	2223	33840
185	2236	33834
186	2248	33825
